 GPU activities:   97.74%  4.6945ms         1  4.6945ms  4.6945ms  4.6945ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.75%  4.6971ms         1  4.6971ms  4.6971ms  4.6971ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.71%  4.6904ms         1  4.6904ms  4.6904ms  4.6904ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.72%  4.6947ms         1  4.6947ms  4.6947ms  4.6947ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.73%  4.6882ms         1  4.6882ms  4.6882ms  4.6882ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.71%  4.6859ms         1  4.6859ms  4.6859ms  4.6859ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.72%  4.6914ms         1  4.6914ms  4.6914ms  4.6914ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.74%  4.6958ms         1  4.6958ms  4.6958ms  4.6958ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.73%  4.6917ms         1  4.6917ms  4.6917ms  4.6917ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.68%  4.6914ms         1  4.6914ms  4.6914ms  4.6914ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.75%  4.6944ms         1  4.6944ms  4.6944ms  4.6944ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.70%  4.6913ms         1  4.6913ms  4.6913ms  4.6913ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.73%  4.6933ms         1  4.6933ms  4.6933ms  4.6933ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.73%  4.6941ms         1  4.6941ms  4.6941ms  4.6941ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.72%  4.6932ms         1  4.6932ms  4.6932ms  4.6932ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.73%  4.6930ms         1  4.6930ms  4.6930ms  4.6930ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.74%  4.6949ms         1  4.6949ms  4.6949ms  4.6949ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.74%  4.6933ms         1  4.6933ms  4.6933ms  4.6933ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.72%  4.6948ms         1  4.6948ms  4.6948ms  4.6948ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   97.72%  4.6990ms         1  4.6990ms  4.6990ms  4.6990ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
