 GPU activities:   97.23%  3.8249ms         1  3.8249ms  3.8249ms  3.8249ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.26%  3.8220ms         1  3.8220ms  3.8220ms  3.8220ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.25%  3.8237ms         1  3.8237ms  3.8237ms  3.8237ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.23%  3.8232ms         1  3.8232ms  3.8232ms  3.8232ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.23%  3.8223ms         1  3.8223ms  3.8223ms  3.8223ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.23%  3.8228ms         1  3.8228ms  3.8228ms  3.8228ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.20%  3.8223ms         1  3.8223ms  3.8223ms  3.8223ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.24%  3.8229ms         1  3.8229ms  3.8229ms  3.8229ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.25%  3.8244ms         1  3.8244ms  3.8244ms  3.8244ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.18%  3.8230ms         1  3.8230ms  3.8230ms  3.8230ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.24%  3.8241ms         1  3.8241ms  3.8241ms  3.8241ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.26%  3.8251ms         1  3.8251ms  3.8251ms  3.8251ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.23%  3.8222ms         1  3.8222ms  3.8222ms  3.8222ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.24%  3.8244ms         1  3.8244ms  3.8244ms  3.8244ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.24%  3.8249ms         1  3.8249ms  3.8249ms  3.8249ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.27%  3.8248ms         1  3.8248ms  3.8248ms  3.8248ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.24%  3.8244ms         1  3.8244ms  3.8244ms  3.8244ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.23%  3.8233ms         1  3.8233ms  3.8233ms  3.8233ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.21%  3.8220ms         1  3.8220ms  3.8220ms  3.8220ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   97.22%  3.8236ms         1  3.8236ms  3.8236ms  3.8236ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
