 GPU activities:   44.19%  70.907ms         1  70.907ms  70.907ms  70.907ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.91%  69.991ms         1  69.991ms  69.991ms  69.991ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.94%  70.180ms         1  70.180ms  70.180ms  70.180ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.55%  69.106ms         1  69.106ms  69.106ms  69.106ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.994ms         1  69.994ms  69.994ms  69.994ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.86%  69.991ms         1  69.991ms  69.991ms  69.991ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.994ms         1  69.994ms  69.994ms  69.994ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.994ms         1  69.994ms  69.994ms  69.994ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.29%  68.314ms         1  68.314ms  68.314ms  68.314ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.88%  70.025ms         1  70.025ms  70.025ms  70.025ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.86%  69.990ms         1  69.990ms  69.990ms  69.990ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.993ms         1  69.993ms  69.993ms  69.993ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.59%  69.226ms         1  69.226ms  69.226ms  69.226ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.86%  69.987ms         1  69.987ms  69.987ms  69.987ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.997ms         1  69.997ms  69.997ms  69.997ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.05%  67.676ms         1  67.676ms  67.676ms  67.676ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.999ms         1  69.999ms  69.999ms  69.999ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.86%  69.992ms         1  69.992ms  69.992ms  69.992ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.993ms         1  69.993ms  69.993ms  69.993ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   43.87%  69.998ms         1  69.998ms  69.998ms  69.998ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
