 GPU activities:   49.57%  22.138ms         1  22.138ms  22.138ms  22.138ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   50.00%  22.507ms         1  22.507ms  22.507ms  22.507ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   50.04%  22.507ms         1  22.507ms  22.507ms  22.507ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.58%  22.137ms         1  22.137ms  22.137ms  22.137ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.58%  22.137ms         1  22.137ms  22.137ms  22.137ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.58%  22.136ms         1  22.136ms  22.136ms  22.136ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.56%  22.137ms         1  22.137ms  22.137ms  22.137ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.57%  22.138ms         1  22.138ms  22.138ms  22.138ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.58%  22.138ms         1  22.138ms  22.138ms  22.138ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.58%  22.138ms         1  22.138ms  22.138ms  22.138ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.95%  22.491ms         1  22.491ms  22.491ms  22.491ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.62%  22.178ms         1  22.178ms  22.178ms  22.178ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   50.14%  22.509ms         1  22.509ms  22.509ms  22.509ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.99%  22.509ms         1  22.509ms  22.509ms  22.509ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.57%  22.137ms         1  22.137ms  22.137ms  22.137ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   50.01%  22.511ms         1  22.511ms  22.511ms  22.511ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.97%  22.510ms         1  22.510ms  22.510ms  22.510ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   50.03%  22.508ms         1  22.508ms  22.508ms  22.508ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.57%  22.134ms         1  22.134ms  22.134ms  22.134ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   49.99%  22.513ms         1  22.513ms  22.513ms  22.513ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
