 GPU activities:   96.25%  5.3398ms         1  5.3398ms  5.3398ms  5.3398ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.26%  5.3403ms         1  5.3403ms  5.3403ms  5.3403ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.21%  5.3390ms         1  5.3390ms  5.3390ms  5.3390ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.26%  5.3421ms         1  5.3421ms  5.3421ms  5.3421ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.27%  5.3413ms         1  5.3413ms  5.3413ms  5.3413ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.22%  5.3415ms         1  5.3415ms  5.3415ms  5.3415ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.28%  5.3410ms         1  5.3410ms  5.3410ms  5.3410ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.27%  5.3402ms         1  5.3402ms  5.3402ms  5.3402ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.28%  5.3393ms         1  5.3393ms  5.3393ms  5.3393ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.28%  5.3418ms         1  5.3418ms  5.3418ms  5.3418ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.25%  5.3410ms         1  5.3410ms  5.3410ms  5.3410ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.27%  5.3407ms         1  5.3407ms  5.3407ms  5.3407ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.27%  5.3416ms         1  5.3416ms  5.3416ms  5.3416ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.26%  5.3392ms         1  5.3392ms  5.3392ms  5.3392ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.24%  5.3398ms         1  5.3398ms  5.3398ms  5.3398ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.27%  5.3417ms         1  5.3417ms  5.3417ms  5.3417ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.25%  5.3403ms         1  5.3403ms  5.3403ms  5.3403ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.26%  5.3404ms         1  5.3404ms  5.3404ms  5.3404ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.29%  5.3411ms         1  5.3411ms  5.3411ms  5.3411ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
 GPU activities:   96.28%  5.3395ms         1  5.3395ms  5.3395ms  5.3395ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned char*)
