 GPU activities:   96.68%  3.3078ms         1  3.3078ms  3.3078ms  3.3078ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.64%  3.3076ms         1  3.3076ms  3.3076ms  3.3076ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.65%  3.3081ms         1  3.3081ms  3.3081ms  3.3081ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.69%  3.3092ms         1  3.3092ms  3.3092ms  3.3092ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.68%  3.3121ms         1  3.3121ms  3.3121ms  3.3121ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.68%  3.3099ms         1  3.3099ms  3.3099ms  3.3099ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.68%  3.3099ms         1  3.3099ms  3.3099ms  3.3099ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.70%  3.3102ms         1  3.3102ms  3.3102ms  3.3102ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.71%  3.3125ms         1  3.3125ms  3.3125ms  3.3125ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.71%  3.3078ms         1  3.3078ms  3.3078ms  3.3078ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.59%  3.3064ms         1  3.3064ms  3.3064ms  3.3064ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.72%  3.3113ms         1  3.3113ms  3.3113ms  3.3113ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.59%  3.3101ms         1  3.3101ms  3.3101ms  3.3101ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.73%  3.3092ms         1  3.3092ms  3.3092ms  3.3092ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.72%  3.3085ms         1  3.3085ms  3.3085ms  3.3085ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.67%  3.3079ms         1  3.3079ms  3.3079ms  3.3079ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.70%  3.3080ms         1  3.3080ms  3.3080ms  3.3080ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.68%  3.3090ms         1  3.3090ms  3.3090ms  3.3090ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.65%  3.3097ms         1  3.3097ms  3.3097ms  3.3097ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
 GPU activities:   96.66%  3.3092ms         1  3.3092ms  3.3092ms  3.3092ms  GPU_min_sum(unsigned char*, unsigned char*, unsigned short*)
